,Country,Climate,HouseType,RennovationDegree,Number
204,BG,N,SFH,002,BG.N.SFH.05.Gen.ReEx.001.002
205,BG,N,SFH,003,BG.N.SFH.05.Gen.ReEx.001.003
206,BG,N,SFH,001,BG.N.SFH.06.Gen.ReEx.001.001
207,BG,N,SFH,002,BG.N.SFH.06.Gen.ReEx.001.002
208,BG,N,SFH,003,BG.N.SFH.06.Gen.ReEx.001.003
209,BG,N,TH,001,BG.N.TH.01.Gen.ReEx.001.001
210,BG,N,TH,002,BG.N.TH.01.Gen.ReEx.001.002
211,BG,N,TH,003,BG.N.TH.01.Gen.ReEx.001.003
212,BG,N,TH,001,BG.N.TH.02.Gen.ReEx.001.001
213,BG,N,TH,002,BG.N.TH.02.Gen.ReEx.001.002
214,BG,N,TH,003,BG.N.TH.02.Gen.ReEx.001.003
215,BG,N,TH,001,BG.N.TH.04.Gen.ReEx.001.001
216,BG,N,TH,002,BG.N.TH.04.Gen.ReEx.001.002
217,BG,N,TH,003,BG.N.TH.04.Gen.ReEx.001.003
218,BG,N,TH,001,BG.N.TH.05.Gen.ReEx.001.001
219,BG,N,TH,002,BG.N.TH.05.Gen.ReEx.001.002
220,BG,N,TH,003,BG.N.TH.05.Gen.ReEx.001.003
221,BG,N,TH,001,BG.N.TH.06.Gen.ReEx.001.001
222,BG,N,TH,002,BG.N.TH.06.Gen.ReEx.001.002
223,BG,N,TH,003,BG.N.TH.06.Gen.ReEx.001.003
224,CY,N,MFH,001,CY.N.MFH.01.Gen.ReEx.001.001
225,CY,N,MFH,002,CY.N.MFH.01.Gen.ReEx.001.002
226,CY,N,MFH,003,CY.N.MFH.01.Gen.ReEx.001.003
227,CY,N,MFH,001,CY.N.MFH.02.Gen.ReEx.001.001
228,CY,N,MFH,002,CY.N.MFH.02.Gen.ReEx.001.002
229,CY,N,MFH,003,CY.N.MFH.02.Gen.ReEx.001.003
230,CY,N,MFH,001,CY.N.MFH.03.Gen.ReEx.001.001
231,CY,N,MFH,002,CY.N.MFH.03.Gen.ReEx.001.002
232,CY,N,MFH,003,CY.N.MFH.03.Gen.ReEx.001.003
233,CY,N,MFH,001,CY.N.MFH.04.Gen.ReEx.001.001
234,CY,N,MFH,002,CY.N.MFH.04.Gen.ReEx.001.002
235,CY,N,MFH,003,CY.N.MFH.04.Gen.ReEx.001.003
236,CY,N,SFH,001,CY.N.SFH.01.Gen.ReEx.001.001
237,CY,N,SFH,002,CY.N.SFH.01.Gen.ReEx.001.002
238,CY,N,SFH,003,CY.N.SFH.01.Gen.ReEx.001.003
239,CY,N,SFH,001,CY.N.SFH.02.Gen.ReEx.001.001
